,HOME,AWAY,PER,TS%,TRB%,TOV%,OWS,DWS,VORP,Result
601,Sacramento Kings,Cleveland Cavaliers,-0.047745775,-0.00859222,-0.042662726,0.019829807,-0.38276294,-0.756258143,-0.754241963,0
602,Washington Wizards,Oklahoma City Thunder,0.109897202,0.074425632,0.01763586,-0.024884471,0.50203245,-0.059445958,0.222968574,1
603,Toronto Raptors,Phoenix Suns,-0.04153107,-0.063269621,0.011662431,-0.041156956,-0.139226307,-0.267911237,-0.363743647,0
604,Chicago Bulls,Detroit Pistons,0.150948948,0.079591647,0.02191941,-0.055267089,0.958174881,0.161514372,0.881539814,1
605,Memphis Grizzlies,Golden State Warriors,0.083868199,-0.045244614,0.03599617,-0.237663022,0.241014521,-0.19172922,0.059897132,1
606,New Orleans Pelicans,Minnesota Timberwolves,-0.030127676,-0.026062289,0.054269081,-0.011465155,-0.33692989,-0.281533683,-0.508382578,1
607,Los Angeles Clippers,Denver Nuggets,-0.054046711,-0.020104933,-0.054685361,-0.044245846,-0.752993002,0.067150354,-0.80689375,1
608,Indiana Pacers,Boston Celtics,-0.088488976,-0.027644082,-0.067351616,-0.020498255,-0.635406627,-0.628687461,-1.163504117,0
609,Philadelphia 76ers,Charlotte Hornets,-0.00880905,-0.008421718,0.001092737,-0.056530002,-0.064021262,0.194383754,0.038263416,0
610,Washington Wizards,Orlando Magic,0.138411413,0.061683817,0.020852438,-0.050969054,0.372322327,-0.281143311,0.135264321,1
611,Atlanta Hawks,Miami Heat,0.067989881,-0.015344575,-0.02886837,-0.247891502,0.399617592,-0.700494181,-0.118459211,0
612,New York Knicks,Dallas Mavericks,-0.042595149,-0.017499408,0.036457918,0.092493786,-0.439135004,-0.039743066,-0.551810801,1
613,San Antonio Spurs,Houston Rockets,0.125262849,-0.010350222,0.028668818,-0.22684782,0.35452512,0.516747302,0.781025867,0
614,Utah Jazz,Cleveland Cavaliers,0.071610915,0.040817951,0.040394399,0.03723358,0.505033609,0.026233047,0.413876372,0
615,Chicago Bulls,Brooklyn Nets,0.000583071,0.015372844,-0.015564055,-0.001101608,0.268804368,0.164281333,0.177547516,0
616,Sacramento Kings,Los Angeles Lakers,-0.029668226,-0.006182703,-0.00923699,0.009343667,-0.052770154,-0.354370988,-0.340044008,1
617,Milwaukee Bucks,Golden State Warriors,0.037774626,-0.01229148,-0.003618208,-0.25018591,0.403354151,-0.505891818,0.17030217,1
618,Memphis Grizzlies,Minnesota Timberwolves,0.067443863,-0.031542558,0.084158451,-0.104875586,0.024501261,0.232605929,0.182205586,1
619,New Orleans Pelicans,Los Angeles Clippers,0.023807204,-0.032288599,0.071039541,0.01602472,0.217072578,-0.288732156,0.087528845,1
620,Brooklyn Nets,Oklahoma City Thunder,0.146769096,0.069501371,0.029492287,-0.032420227,0.857355117,-0.010786779,0.720539167,0
621,Denver Nuggets,Portland Trail Blazers,0.149235441,0.098002338,0.048370421,0.028822473,1.323769849,0.346157545,1.282991417,1
622,Charlotte Hornets,Orlando Magic,0.201766708,0.072908493,0.010656083,-0.046406908,1.142089707,0.044034043,0.997392261,0
623,Detroit Pistons,Toronto Raptors,-0.156141679,-0.017186848,-0.054886429,0.152609069,-1.032771408,-0.641554146,-1.209207777,1
624,Indiana Pacers,Phoenix Suns,-0.197672749,-0.080456469,-0.043223998,0.111452113,-1.171997715,-0.909465383,-1.572951424,0
625,Philadelphia 76ers,Boston Celtics,-0.019234259,-0.028312897,-0.052504434,-0.081927209,0.001595094,-0.58188021,-0.516241854,1
626,Chicago Bulls,Golden State Warriors,0.014652893,-0.000498936,-0.044689569,-0.178375773,0.21789343,-0.676950021,-0.296230861,0
627,Miami Heat,Atlanta Hawks,-0.067989881,0.015344575,0.02886837,0.247891502,-0.399617592,0.700494181,0.118459211,1
628,San Antonio Spurs,Cleveland Cavaliers,0.020501115,-0.021780269,-0.026716239,-0.090055279,-0.138180174,-0.297004935,-0.219923288,0
629,Memphis Grizzlies,Dallas Mavericks,0.09578999,-0.038987717,0.075249838,0.022381872,0.015761908,0.020414932,0.006265981,0
